
  
   Name                                     | Table size | Index size | Total size | Estimated row count | Seq scans 
   public.stages                            | 16 kB      | 16 kB      | 32 kB      | 7                   | 1         
   public.official_protocols                | 16 kB      | 16 kB      | 32 kB      | 0                   | 28        
   public.official_patterns                 | 16 kB      | 16 kB      | 32 kB      | 0                   | 28        
   public.taskzei_meetings                  | 8192 bytes | 24 kB      | 32 kB      | 0                   | 12        
   public.taskzei_meeting_agenda_items      | 8192 bytes | 24 kB      | 32 kB      | 0                   | 12        
   public.taskzei_entity_links              | 8192 bytes | 24 kB      | 32 kB      | 0                   | 5         
   public.taskzei_doc_attachments           | 8192 bytes | 24 kB      | 32 kB      | 0                   | 5         
   public.user_profiles                     | 8192 bytes | 16 kB      | 24 kB      | 0                   | 2         
   public.taskzei_task_checklist_items      | 8192 bytes | 16 kB      | 24 kB      | 0                   | 1243      
   public.sync_jobs                         | 8192 bytes | 16 kB      | 24 kB      | 0                   | 2         
   public.eda360_audit_logs                 | 8192 bytes | 16 kB      | 24 kB      | 0                   | 2         
   public.taskzei_custom_field_definitions  | 8192 bytes | 16 kB      | 24 kB      | 0                   | 3         
   public.taskzei_notifications             | 8192 bytes | 16 kB      | 24 kB      | 0                   | 3         
   public.taskzei_push_devices              | 8192 bytes | 16 kB      | 24 kB      | 0                   | 3         
   public.taskzei_task_attachments          | 8192 bytes | 16 kB      | 24 kB      | 0                   | 3         
   public.taskzei_task_custom_values        | 8192 bytes | 16 kB      | 24 kB      | 0                   | 3         
   public.integrations                      | 8192 bytes | 16 kB      | 24 kB      | 0                   | 2         
   public.webhook_events_processed          | 8192 bytes | 16 kB      | 24 kB      | 0                   | 2         
   public.channel_threads                   | 0 bytes    | 24 kB      | 24 kB      | 0                   | 3         
   public.cid_prompts                       | 8192 bytes | 16 kB      | 24 kB      | 0                   | 0         
   public.lead_roles                        | 8192 bytes | 8192 bytes | 16 kB      | 0                   | 2         
   public.topics                            | 8192 bytes | 8192 bytes | 16 kB      | 0                   | 43593     
   public.tasks                             | 8192 bytes | 8192 bytes | 16 kB      | 0                   | 43599     
   public.integration_tokens                | 8192 bytes | 8192 bytes | 16 kB      | 0                   | 1         
   public.integration_assets                | 8192 bytes | 8192 bytes | 16 kB      | 0                   | 1         
   public.audit_logs                        | 8192 bytes | 8192 bytes | 16 kB      | 0                   | 2         
   public.medications                       | 8192 bytes | 8192 bytes | 16 kB      | 0                   | 1         
   public.allergies                         | 8192 bytes | 8192 bytes | 16 kB      | 0                   | 1         
   public.diagnosed_conditions              | 8192 bytes | 8192 bytes | 16 kB      | 0                   | 1         
   public.health_documents                  | 8192 bytes | 8192 bytes | 16 kB      | 0                   | 1         
   public.symptoms_timeline                 | 8192 bytes | 8192 bytes | 16 kB      | 0                   | 1         
   public.appointments                      | 8192 bytes | 8192 bytes | 16 kB      | 0                   | 1         
   public.appointment_questions             | 8192 bytes | 8192 bytes | 16 kB      | 0                   | 1         
   public.consultation_notes                | 8192 bytes | 8192 bytes | 16 kB      | 0                   | 1         
   public.health_reminders                  | 8192 bytes | 8192 bytes | 16 kB      | 0                   | 1         
   public.consent_records                   | 8192 bytes | 8192 bytes | 16 kB      | 0                   | 1         
   public.sync_errors                       | 8192 bytes | 8192 bytes | 16 kB      | 0                   | 1         
   public.webhook_endpoints                 | 8192 bytes | 8192 bytes | 16 kB      | 0                   | 1         

